PropertyID,Category,Price,area,Rate/sqft,Posted Date
163185,Apartment,25000000,2500.0 sq.ft. | 2400.0 sq.ft. | 2300.0 sq.ft.,10000,2025-01-03
22632,Other,18000000,1550.0 sq.ft.,11612,2025-05-04
198704,Apartment,45000000,2900.0 sq.ft. | 1653.0 sq.ft.,15517,2024-11-14
58762,Apartment,95000000,4350.0 sq.ft.,21839,2025-03-11
203388,Apartment,26000000,2415.0 sq.ft.,10766,2025-04-01
27367,Apartment,45000000,2380.0 sq.ft.,18907,2025-04-18
215745,Apartment,16500000,1650.0 sq.ft. | 1326.0 sq.ft.,10000,2024-11-16
214026,Apartment,16000000,1326.0 sq.ft.,12066,2024-10-03
100110,Apartment,14500000,1326.0 sq.ft. | 1120.0 sq.ft. | 920.0 sq.ft.,15760,2025-03-01
210034,Other,15500000,1326.0 sq.ft.,11689,2024-11-21
184551,Apartment,15000000,1326.0 sq.ft.,11312,2024-11-26
148996,Apartment,18500000,1326.0 sq.ft.,13951,2025-01-24
205562,Apartment,15000004,1326.0 sq.ft.,11312,2024-11-06
92835,Other,14400000,1326.0 sq.ft.,10859,2025-01-23
150579,Apartment,15200000,1326.0 sq.ft.,11463,2025-05-05
34726,Apartment,16000000,1326.0 sq.ft.,12066,2025-04-12
190861,Apartment,14375000,1326.0 sq.ft.,10840,2024-09-30
185687,Apartment,17000000,1326.0 sq.ft.,12820,2024-11-19
86273,Other,25000000,1326.0 sq.ft.,18853,2025-02-15
188170,Apartment,14500000,1326.0 sq.ft.,10935,2024-10-09
186960,Apartment,15400000,1326.0 sq.ft.,11613,2024-11-11
168249,Apartment,16200000,1326.0 sq.ft.,12217,2025-05-03
120039,Apartment,15100000,1326.0 sq.ft. | 900.0 sq.ft.,11387,2025-04-21
191555,Other,16000000,1326.0 sq.ft. | 1050.0 sq.ft.,12066,2024-10-29
82319,Other,16500000,1326.0 sq.ft.,12443,2025-04-28
100998,Apartment,17000000,1320.0 sq.ft.,12878,2025-02-06
214186,Apartment,15500000,1360.0 sq.ft.,11397,2024-10-23
214185,Apartment,15200000,1326.0 sq.ft.,11463,2024-10-23
149579,Apartment,16000000,1326.0 sq.ft.,12066,2024-12-20
177201,Apartment,16000000,1326.0 sq.ft.,12066,2025-04-18
135337,Apartment,15800000,1326.0 sq.ft. | 1300.0 sq.ft. | 1100.0 sq.ft.,11915,2025-01-21
150048,Apartment,16500000,1000.0 sq.ft.,16500,2024-12-13
89209,Apartment,15300000,1400.0 sq.ft. | 1350.0 sq.ft. | 1326.0 sq.ft.,10928,2025-03-03
186873,Apartment,15600000,1360.0 sq.ft.,11470,2024-10-24
214031,Apartment,15900000,1326.0 sq.ft.,11990,2024-09-30
188569,Apartment,16500000,1360.0 sq.ft.,12132,2024-09-23
96983,Apartment,26000000,1326.0 sq.ft.,19607,2025-02-22
214030,Apartment,16100000,1326.0 sq.ft.,12141,2024-09-30
141453,Apartment,15000000,1326.0 sq.ft.,11312,2025-01-16
216127,Apartment,15300000,1326.0 sq.ft.,11538,2024-10-24
216650,Apartment,15000000,1326.0 sq.ft.,11312,2024-10-14
191553,Apartment,15500000,1326.0 sq.ft. | 1150.0 sq.ft.,11689,2024-10-18
181030,Apartment,15500000,1326.0 sq.ft.,11689,2025-03-21
142518,Apartment,16500000,1326.0 sq.ft.,12443,2025-01-27
152182,Apartment,16000000,1326.0 sq.ft. | 1130.0 sq.ft. | 960.0 sq.ft.,12066,2025-04-05
205561,Apartment,15000001,1326.0 sq.ft.,11312,2024-11-06
187071,Apartment,20500000,1326.0 sq.ft. | 1325.0 sq.ft.,15471,2024-11-25
201596,Apartment,15500000,1326.0 sq.ft.,11689,2025-04-09
