property_category,posted_on,price_value
Apartment,2024-02-19,16000000.0
Apartment,2024-04-22,25000000.0
Apartment,2024-04-29,4800000.0
Apartment,2024-05-20,7500000.0
Apartment,2024-05-27,19592857.14285714
Apartment,2024-06-10,28500000.0
Apartment,2024-06-17,18700000.0
Apartment,2024-07-01,44500000.0
Apartment,2024-07-08,22083333.333333332
Apartment,2024-07-15,17781625.0
Apartment,2024-07-22,16650000.0
Apartment,2024-07-29,22201500.0
Apartment,2024-08-05,16432012.20338983
Apartment,2024-08-12,23942500.0
Apartment,2024-08-19,22153178.57142857
Apartment,2024-08-26,22421031.73015873
Apartment,2024-09-02,22443044.422222223
Apartment,2024-09-09,25595879.310344826
Apartment,2024-09-16,24494142.685714286
Apartment,2024-09-23,41416963.99432892
Apartment,2024-09-30,37170667.19849624
Apartment,2024-10-07,34591189.61288605
Apartment,2024-10-14,35426198.503304526
Apartment,2024-10-21,34330091.54933641
Apartment,2024-10-28,32133340.536443148
Apartment,2024-11-04,37188313.64736842
Apartment,2024-11-11,32686851.58477347
Apartment,2024-11-18,31775762.271460842
Apartment,2024-11-25,37743511.114503816
Apartment,2024-12-02,35808364.32911392
Apartment,2024-12-09,35118846.614857145
Apartment,2024-12-16,35893475.478957914
Apartment,2024-12-23,36987432.18171296
Apartment,2024-12-30,32473160.10640496
Apartment,2025-01-06,37383015.04286589
Apartment,2025-01-13,37401650.48820446
Apartment,2025-01-20,36756030.823987536
Apartment,2025-01-27,35094722.98336694
Apartment,2025-02-03,35022579.061393805
Apartment,2025-02-10,39072174.938763015
Apartment,2025-02-17,35906808.44030668
Apartment,2025-02-24,32645705.556912825
Apartment,2025-03-03,40078108.65539662
Apartment,2025-03-10,38020419.26615553
Apartment,2025-03-17,35693156.953125
Apartment,2025-03-24,33917217.20885609
Apartment,2025-03-31,31948485.124023438
Apartment,2025-04-07,32950457.904352225
Apartment,2025-04-14,35349688.133536585
Apartment,2025-04-21,36786521.46345256
Apartment,2025-04-28,36233244.161021985
Apartment,2025-05-05,28135367.014492754
Other,2024-02-26,6000000.0
Other,2024-04-08,10200000.0
Other,2024-05-27,96666666.66666667
Other,2024-06-10,27000000.0
Other,2024-06-17,15250000.0
Other,2024-07-15,4200000.0
Other,2024-07-22,13500000.0
Other,2024-07-29,18062258.06451613
Other,2024-08-05,23521842.10526316
Other,2024-08-12,21032593.47826087
Other,2024-08-19,20336612.086206898
Other,2024-08-26,22719836.53846154
Other,2024-09-02,22007270.791666668
Other,2024-09-09,21678242.62962963
Other,2024-09-16,19916709.09090909
Other,2024-09-23,21951957.54901961
Other,2024-09-30,38733971.131284915
Other,2024-10-07,30434286.79775281
Other,2024-10-14,35065659.77608143
Other,2024-10-21,32000521.925
Other,2024-10-28,28323906.170588236
