city,location,year,month,quarter,property_category,rate_sqft
Gurgaon,A Block Sushant Lok Phase 1,2024,Nov,Q4,Other,24242.0
Gurgaon,A Block Sushant Lok Phase 1,2025,Feb,Q1,Apartment,25200.0
Gurgaon,A Block Sushant Lok Phase 1,2025,Feb,Q1,Other,24242.0
Gurgaon,A Block Sushant Lok Phase 1,2025,Jan,Q1,Apartment,15000.0
Gurgaon,Acharya Puri,2024,Nov,Q4,Apartment,8536.0
Gurgaon,Adarsh Nagar,2024,Sep,Q3,Apartment,5158.0
Gurgaon,Alahawas,2025,Apr,Q2,Apartment,26147.0
Gurgaon,Alawardi Sarai,2024,Apr,Q2,Apartment,11052.0
Gurgaon,Alawardi Sarai,2024,Aug,Q3,Apartment,12719.39393939394
Gurgaon,Alawardi Sarai,2024,Aug,Q3,Other,12496.3
Gurgaon,Alawardi Sarai,2024,Aug,Q3,Plot,11256.0
Gurgaon,Alawardi Sarai,2024,Dec,Q4,Apartment,12073.872641509433
Gurgaon,Alawardi Sarai,2024,Dec,Q4,Other,12232.281690140846
Gurgaon,Alawardi Sarai,2024,Dec,Q4,Penthouse,17177.0
Gurgaon,Alawardi Sarai,2024,Jul,Q3,Apartment,11231.666666666666
Gurgaon,Alawardi Sarai,2024,Jul,Q3,Other,17906.0
Gurgaon,Alawardi Sarai,2024,Jun,Q2,Apartment,11130.0
Gurgaon,Alawardi Sarai,2024,Jun,Q2,Other,12872.0
Gurgaon,Alawardi Sarai,2024,May,Q2,Apartment,15502.0
Gurgaon,Alawardi Sarai,2024,Nov,Q4,Apartment,11512.780487804877
Gurgaon,Alawardi Sarai,2024,Nov,Q4,Other,10918.63448275862
Gurgaon,Alawardi Sarai,2024,Nov,Q4,Penthouse,11715.0
Gurgaon,Alawardi Sarai,2024,Nov,Q4,Plot,9885.6
Gurgaon,Alawardi Sarai,2024,Nov,Q4,Studio,11922.5
Gurgaon,Alawardi Sarai,2024,Nov,Q4,Villa,10479.75
Gurgaon,Alawardi Sarai,2024,Oct,Q4,Apartment,11720.161787365178
Gurgaon,Alawardi Sarai,2024,Oct,Q4,Other,11812.046511627907
Gurgaon,Alawardi Sarai,2024,Oct,Q4,Penthouse,13038.75
Gurgaon,Alawardi Sarai,2024,Oct,Q4,Plot,13428.25
Gurgaon,Alawardi Sarai,2024,Oct,Q4,Studio,11560.0
Gurgaon,Alawardi Sarai,2024,Oct,Q4,Villa,11680.4
Gurgaon,Alawardi Sarai,2024,Sep,Q3,Apartment,12074.05633802817
Gurgaon,Alawardi Sarai,2024,Sep,Q3,Other,12690.790697674418
Gurgaon,Alawardi Sarai,2024,Sep,Q3,Penthouse,14322.5
Gurgaon,Alawardi Sarai,2024,Sep,Q3,Plot,13000.0
Gurgaon,Alawardi Sarai,2024,Sep,Q3,Villa,11029.0
Gurgaon,Alawardi Sarai,2025,Apr,Q2,Apartment,11897.097690941386
Gurgaon,Alawardi Sarai,2025,Apr,Q2,Other,12883.253623188406
Gurgaon,Alawardi Sarai,2025,Apr,Q2,Penthouse,11115.384615384615
Gurgaon,Alawardi Sarai,2025,Apr,Q2,Plot,12753.333333333334
Gurgaon,Alawardi Sarai,2025,Apr,Q2,Villa,14375.0
Gurgaon,Alawardi Sarai,2025,Feb,Q1,Apartment,12191.95569620253
Gurgaon,Alawardi Sarai,2025,Feb,Q1,Other,12229.274611398963
Gurgaon,Alawardi Sarai,2025,Feb,Q1,Penthouse,12001.4
Gurgaon,Alawardi Sarai,2025,Feb,Q1,Studio,10000.0
Gurgaon,Alawardi Sarai,2025,Feb,Q1,Villa,14055.857142857143
Gurgaon,Alawardi Sarai,2025,Jan,Q1,Apartment,11690.838074398249
Gurgaon,Alawardi Sarai,2025,Jan,Q1,Other,11632.364963503649
Gurgaon,Alawardi Sarai,2025,Jan,Q1,Penthouse,14825.625
Gurgaon,Alawardi Sarai,2025,Jan,Q1,Villa,10272.5
Gurgaon,Alawardi Sarai,2025,Mar,Q1,Apartment,11889.004750593824
Gurgaon,Alawardi Sarai,2025,Mar,Q1,Other,12786.256
Gurgaon,Alawardi Sarai,2025,Mar,Q1,Penthouse,12598.6
Gurgaon,Alawardi Sarai,2025,Mar,Q1,Plot,8617.666666666666
Gurgaon,Alawardi Sarai,2025,Mar,Q1,Villa,11276.333333333334
Gurgaon,Alawardi Sarai,2025,May,Q2,Apartment,11707.92857142857
Gurgaon,Alawardi Sarai,2025,May,Q2,Other,11548.583333333334
Gurgaon,Ambience Caitronia,2025,Mar,Q1,Other,19285.0
Gurgaon,Ambience Island,2024,Nov,Q4,Other,20000.0
Gurgaon,Ambience Island,2025,Jan,Q1,Apartment,19714.0
Gurgaon,Anamika Enclave,2024,Dec,Q4,Apartment,5714.0
Gurgaon,Anamika Enclave,2024,Oct,Q4,Other,6071.0
Gurgaon,Anamika Enclave,2025,Feb,Q1,Other,5312.0
Gurgaon,Ardee City,2024,Oct,Q4,Apartment,17108.0
Gurgaon,Ashok Vihar,2024,Aug,Q3,Apartment,11314.5
Gurgaon,Ashok Vihar,2024,Nov,Q4,Apartment,9203.636363636364
Gurgaon,Ashok Vihar,2024,Nov,Q4,Other,9054.421052631578
Gurgaon,Ashok Vihar,2024,Oct,Q4,Apartment,10065.666666666666
Gurgaon,Ashok Vihar,2024,Oct,Q4,Other,10847.461538461539
Gurgaon,Ashok Vihar,2024,Sep,Q3,Apartment,10997.25
Gurgaon,Ashok Vihar,2025,Apr,Q2,Apartment,10640.777777777777
Gurgaon,Ashok Vihar,2025,Apr,Q2,Other,12153.727272727272
Gurgaon,Ashok Vihar,2025,Feb,Q1,Apartment,10671.083333333334
Gurgaon,Ashok Vihar,2025,Feb,Q1,Other,10497.857142857143
Gurgaon,Ashok Vihar,2025,Jan,Q1,Apartment,10202.64
Gurgaon,Ashok Vihar,2025,Jan,Q1,Other,8949.823529411764
Gurgaon,Ashok Vihar,2025,Mar,Q1,Apartment,9678.1
Gurgaon,Ashok Vihar,2025,Mar,Q1,Other,9842.75
Gurgaon,Ashok Vihar Phase 1,2024,Dec,Q4,Other,7500.0
Gurgaon,Ashok Vihar Phase 1,2025,Feb,Q1,Apartment,14498.0
Gurgaon,Ashok Vihar Phase 2,2024,Oct,Q4,Other,6142.5
Gurgaon,Ashok Vihar Phase 2,2024,Sep,Q3,Other,6753.0
Gurgaon,Ashok Vihar Phase 2,2025,Apr,Q2,Apartment,5500.0
Gurgaon,Ashok Vihar Phase 2,2025,Jan,Q1,Apartment,5538.0
Gurgaon,Ashok Vihar Phase 3 Extension,2024,Aug,Q3,Apartment,5555.0
Gurgaon,Ashok Vihar Phase 3 Extension,2024,Nov,Q4,Other,6285.0
Gurgaon,Ashok Vihar Phase 3 Extension,2025,Apr,Q2,Other,6285.0
Gurgaon,Ashok Vihar Phase 3 Extension,2025,Feb,Q1,Apartment,5000.0
Gurgaon,Ashok Vihar Phase 3 Extension,2025,Mar,Q1,Other,23157.0
Gurgaon,Aura luxury flats 79 b,2025,Mar,Q1,Apartment,13333.0
Gurgaon,Badha,2025,Feb,Q1,Apartment,12182.0
Gurgaon,Badshahpur,2024,Dec,Q4,Other,12580.0
Gurgaon,Badshahpur,2024,Nov,Q4,Other,12580.0
Gurgaon,Badshahpur,2024,Oct,Q4,Apartment,10439.0
Gurgaon,Badshahpur,2024,Oct,Q4,Other,11793.166666666666
Gurgaon,Badshahpur,2024,Sep,Q3,Apartment,4160.0
Gurgaon,Badshahpur,2025,Apr,Q2,Apartment,15191.5
Gurgaon,Badshahpur,2025,Apr,Q2,Other,16666.0
Gurgaon,Badshahpur,2025,Feb,Q1,Apartment,21052.0
Gurgaon,Badshahpur,2025,Feb,Q1,Other,13548.0
Gurgaon,Badshahpur,2025,Jan,Q1,Apartment,12846.0
Gurgaon,Badshahpur,2025,May,Q2,Other,11451.0
Gurgaon,Bandhwari,2024,Aug,Q3,Apartment,12421.0
Gurgaon,Bandhwari,2024,Dec,Q4,Apartment,9571.0
Gurgaon,Bandhwari,2024,Nov,Q4,Apartment,9273.0
Gurgaon,Bandhwari,2024,Nov,Q4,Other,10240.0
Gurgaon,Bandhwari,2024,Oct,Q4,Apartment,10256.0
Gurgaon,Bandhwari,2025,Apr,Q2,Apartment,9545.0
Gurgaon,Bandhwari,2025,Jan,Q1,Apartment,9900.125
Gurgaon,Bandhwari,2025,Mar,Q1,Apartment,10424.2
Gurgaon,Bandhwari,2025,May,Q2,Apartment,10638.8
Gurgaon,Behrampur,2024,Oct,Q4,Apartment,20834.5
Gurgaon,Behrampur,2024,Oct,Q4,Other,17985.0
Gurgaon,Behrampur,2025,Apr,Q2,Other,17985.0
Gurgaon,Behrampur,2025,Feb,Q1,Other,17120.0
